id,title,user_id,likes,comments,stars,notes,fans,collect,content
5b30bf7e910cf67e6a3c20b3,🎓说写祛痘功课好长时间了，没有写的原因是最近太忙，另外我的祛痘膏用完了，断货了一周今天才收到，还是原,5a6d346611be107467cbd3e3,2,0,2,8,7,44,"🎓说写祛痘功课好长时间了，没有写的原因是最近太忙，另外我的祛痘膏用完了，断货了一周今天才收到，还是原来的配方，还是熟悉的味道，顺便把我半年来的护肤品大致整理一下，🎎拔草种草呀
✨首先我的肤质混合偏油，痘痘肌，粉刺，毛孔粗大，而且痘痘长了八年，真的试了各种方法，医院呀，美容院做针清，最后放弃任由它生长，觉得到一定程度就会自然而然的好了，并~没~~有~~，任由痘痘发展到到顶峰大概是去年也就是17年寒假，熬夜加饮食不规律，满脸爆痘，18年寒假结束开始护肤之路，如今痘痘基本上没有了，偶尔上火会有一两个
🌴下面开始给你们讲讲我的护肤心得以及一些产品
💔关于美容院针清，超级疼，而且会反复的
🌟🌟自然乐园芦荟胶＋B6
效果因人而异，挺便宜的可以试一下，万一有作用了呢，用的时候一定要补水，避光，不然起干皮真的很严重，不能经常用，对皮肤有刺激
🌟🌟🌟🌟🌟宝拉珍选水杨酸
好用100分，对闭合性粉刺非常有效果，不过需要坚持使用，我是用了半瓶之后才有的效果，差点以为是鸡肋产品扔掉了
🌟🌟🌟🌟🌟娥佩兰薏仁水
主要用它补水，片装面膜不能经常用，但是薏仁水＋压缩面膜每天湿敷完全可以，敷完脸之后还可以敷脖子，手臂，腿，28天养成一个习惯，我已经连续敷薏仁水面膜三个月了，万年推
🌟🌟🌟🌟🌟elta md氨基酸洗面奶
对敏感肌痘痘肌超级友好，自动起泡沫，无限回购
🌟🌟🌟🌟🌟🌟祛痘膏
给它一万颗星都不嫌多，因为我的痘痘周期超级长，所以呢用了说不清的祛痘产品，但是，要么不起作用，要么效用时间只有一两周反反复复，可是意外发掘到这个祛痘膏，没有具体呢名字，含有珍珠粉的纯中药成分，所以会有美白的功效，我的顽固痘痘和室友的青春痘都是靠它治好的，0风险0刺激0副作用的纯中药祛痘膏，真的是强烈推荐有痘痘的实验一下
🌟🌟🌟🌟🌟德妃紫苏水乳
有修复皮肤调节水油平衡的功效，果断选择了这个，讲真大概是我最喜欢的水乳没有之一了，之前每天都要用好几张吸油纸，现在基本上吸油纸就废了
🌟🌟🌟🌟🌟擦脸巾
物有所值，一天用一张，早上用过晾干之后晚上还可以用，最后还可以擦桌子，痘痘肌粉刺真的不要用毛巾了，细菌真的很多好吗
🔥很多产品虽然好但是注意不要为了便宜买到假货，那就本末倒置了，可以找我代，我辣磨可爱，当然，有什么护肤问题同样欢迎vx:jiajiade678"
5b30ecc007ef1c1d01436c89,"🙌🙌🙌吴限膜法～还你清透白嫩～
强势安利一波良心国货👇
#膜法世家 吴磊定制面膜礼盒 水嫩盈润四合一",5b30e849e8ac2b296a0bf183,0,0,0,1,0,0,"🙌🙌🙌吴限膜法～还你清透白嫩～
强势安利一波良心国货👇
膜法世家 吴磊定制面膜礼盒 水嫩盈润四合一 25ml*20片+定制7件套
三石弟弟代言的膜法世家定制版噢～
转眼就到了夏天，气温越来越高，日照越来越强，肌肤的水份被慢慢蒸干，而肌肤的颜色也越晒越黑，如此恶性循环下去，肌肤变的干燥、暗黄，气色一日不如一日，如何才能恢复水润匀亮的美肌？这时候就显现出面膜的威力来啦，补水，保湿，并提亮肤色，还你娇嫩明亮的水润美肌～
膜法世家——天然膜护理专家，融合东方养颜理念与西方先进制作工艺，以萃取花果谷物、植物草本精华释放自然美肤养分，以天然精粹诠释天然膜护理新主张，在传承古老膜法养颜经典的基础上，专注膜类产品研究和开发，成就为天然膜护理专家。
我是膜法世家的老粉丝了～特别爱囤它们家的货🙈🙈冲着三石弟弟的颜值入手的这款定制版的面膜，收到满满的一大盒～不得不说一下，膜法世家的包装一直特别走心❤
打开包装里面又分为了两份小礼盒呢～
每种礼盒里又包含了两种面膜，一份是“紫苏叶水润雪肌面膜贴”和“羽衣草补水盈亮面膜贴”另一份礼盒里是“七叶树保湿润肤面膜贴”和雪松柔嫩细致面膜贴”当然还包含了几个白松露小样的赠品，说是小样其实感觉最适合平时出门旅游带了，小小的不占地方还耐用～
当天晚上就迫不及待的敷上啦～拆开袋子会有种淡淡清香味扑鼻，很温和不刺激，很好闻的味道。面膜剪裁的也非常好，刚好合适不大不小，敷上脸清清凉凉的，很舒服～可以感觉整个脸部皮肤都在被面膜滋润着～
精华超级多的，还剩好多我都用来擦手臂擦脖子啦嘻嘻～
吸收也还蛮好，敷脸20分钟左右卸掉洗完脸也不会有粘粘的感觉，摸起来很嫩很水润～
价格亲民～好用又实惠～
膜法世家 吴磊定制面膜礼盒 水嫩盈润四合一 25ml*20片+定制7件套
@美妆薯
平价面膜"
5b310041910cf67e6b3c5552,"✨✨敏感肌的去鸡皮神器❤自然旋律果酸去鸡皮身体乳❤
✨✨作为一个重度鸡皮的敏感体质我也是欲哭无泪了😭",5b2a5ac8e8ac2b2573af92d2,38,3,4,6,338,244,"✨✨敏感肌的去鸡皮神器❤自然旋律果酸去鸡皮身体乳❤
✨✨作为一个重度鸡皮的敏感体质我也是欲哭无泪了😭腿上加上胳膊上，一大片一大片的鸡皮疙瘩🐔什么产品，什么偏方都不能用😢之前我鼓起勇气用了一次硫磺皂🍃还只用在了小腿上，没想到第二天浑身起红疹💔一直从脚上起到脸上💔从那之后我就只敢用搓澡巾对抗鸡皮💪💪💪
✨✨但是长久这样也不是办法，腿上的皮肤都被搓破了😔留了好些疤😨刚好最近同事给我推荐了👉自然旋律果酸去鸡皮身体乳👈我一开始看到果酸两个字有些犯怵🌾但是同事自己也是敏感体质，她一直在用，感觉挺好👍我才绝定买一瓶试一试👄👄👄
✨✨刚拿到手的时候我也没敢大规模的在身上用，就在小腿那里选了一小片皮肤抹了一些，抹上去冰冰凉凉的很舒服😘😘😘第二天也没有什么过敏反应😍我这才敢大面积的往身上涂🌷🌷
✨✨现在用了一瓶了，一次过敏都没有👏👏而且鸡皮都不见了👏👏一些小疤也淡化了不少🌹🌹皮肤白白嫩嫩的🎉🎉已经打算回购一瓶了💕💕💕自然旋律果酸身体乳 #自然旋律品牌店 清爽滋润身体乳 国货之光"
5b30d6f2910cf67e693d0d0e,"独宠它一个—小羊皮306 #纪梵希小羊皮306 
我人生第一支快被用秃了的口红
专柜前随意试的一支，",55d5adcfc2bdeb46e0b4e296,9,2,4,11,32,67,"独宠它一个—小羊皮306 纪梵希小羊皮306
我人生第一支快被用秃了的口红
专柜前随意试的一支，直接爱上了❤️很润，涂上能遮一部分唇纹，而且持久度也不错
自然光下发橘色，灯光下是正红色～
可以涂咬唇，很有活力，显气色～
可以厚涂～非常有气场！浓妆淡妆都可以～相当百搭还显白✌十几支💄 独宠它一个"
5b30d4f107ef1c1d034273d9,"朴敏英金秘书仿妆✨
你们看韩剧 金秘书为什么这条样了 吗？？ 朴敏英的颜我真的是服气的，这剧只更新了",589167886a6a69289b528983,920,86,2552,115,2411,2.1万,"朴敏英金秘书仿妆✨
你们看韩剧 金秘书为什么这条样了 吗？？ 朴敏英的颜我真的是服气的，这剧只更新了六集根本不够看😤😤里面金秘书的妆吼吼看，特别自然！全脸我就不放照片了，我怕被打😂😂仿了个心机眼妆。
🌟眼妆非常简单哇
找这三个类似的颜色就ok，一个哑光浅橘咖，一个哑光深棕，一个珠光香槟色，我相信你们都有😑
1⃣️a色打底上眼皮，不要超过双眼皮褶皱
2⃣️下眼睑三分之一处也要带到，可以向下话一点，无辜眼就是这样来的
3⃣️眼头卧蚕用c带过就OK
4⃣️眼线hin重要，内眼线用黑色眼线胶，记得眼头一定要画进去，眼尾外眼线用棕色眼线膏，眼尾‼️向下拉一丢丢‼
✨眉毛就是颜色很浅的平眉，画的短一点
眼影：nyx 16色眼影NYX ULTIMATE16色眼影盘 Warm Neutrals 16*0.83g
眼线：魔法森林棕色眼线膏 得鲜黑色眼线胶笔魔法森林 持久防水精准眼线膏 带眼线刷 02 棕色 3.5g
眉笔：卡其色彩 和kate眉粉KATE 三色立体眉粉 EX-4 浅棕色 3g
明星仿妆我最像韩剧女主仿妆秀平价好用的眼影盘眼影试色新手最容易上手的眼影盘眼影画法大搜罗最适合单眼皮的眼影"
5b308c64672e1447e17e8f20,"给大家po个#美甲 #凉鞋美甲搭配 #足部美甲 
美甲  脚
足部美甲
我属于一年四季都做脚的猪猪女",55a519baf5a2636a27758d9d,4,0,5,12,43,94,"给大家po个美甲凉鞋美甲搭配足部美甲
美甲 脚
足部美甲
我属于一年四季都做脚的猪猪女孩
这个gucci风很显白"
5b48709c910cf646dda6b292,请和我们一起跳舞🕺🏻💃🏻🕺🏻#hermes ,5a83c7e6e8ac2b7fe209dccd,5,0,1,56,498,1748,请和我们一起跳舞🕺🏻💃🏻🕺🏻hermes
5b3090dc672e1447de7f60e9,"PandaW潘达眼膜淡化黑眼圈细纹妆可贴眼膜紧致补水10片装
买这个眼膜纯粹是明星广告宣传效应，再加",566d1280f53ee05bc0fbddbe,0,0,1,170,533,7571,"PandaW潘达眼膜淡化黑眼圈细纹妆可贴眼膜紧致补水10片装
买这个眼膜纯粹是明星广告宣传效应，再加上本来对眼膜就比较感兴趣。用我妈的一句话来说，我浑身上下就这双眼能看了，可得保护好。所以对眼睛的保护一直很用心，所有眼膜都想试一个遍。他们家眼膜和其它家不太一样的地方质地像果冻一样充满弹性，使用的时候不会有湿漉漉的感觉，会有冰凉的触感，而且非常服帖。
熬夜必备眼膜"
5b3109bb910cf67e693d21bd,"#干皮最爱补水面膜 #jm水光蜂蜜面膜  @小红叔  @生活薯
最近用的比较多的一款补水面膜
首先包",5986d9e66a6a691ab405271f,1,1,0,11,36,150,"干皮最爱补水面膜jm水光蜂蜜面膜 @小红叔 @生活薯
最近用的比较多的一款补水面膜
首先包装很好撕开
其次面膜纸特别大
最后精华居多
而且味道补水效果都还不错
平价款面膜
值得一试 推荐☺☺"
5b31a50d672e1447e47f798a,"#COVERMARK Covermark中草药粉底霜！目前用过最好的粉底霜没有之一！推！！！
二十出",578f666d82ec39760a2c6e61,3,2,2,7,15,42,"#COVERMARK Covermark中草药粉底霜！目前用过最好的粉底霜没有之一！推！！！
二十出头的时候都是流行各种韩国的气垫，买到不合适的色号会惨白也不够服帖，后来发现了日系的彩妆以后家里就再容不下其他的了😁
这款粉底霜质地很软糯，像奶油一样，一看就有想抹上脸的冲动，一开始是因为脸上有痘印，然而遮瑕能力太好的东西用在我脸上很容易显得惨白，正好这个时候遇见了它，因为含有草药精华，所以痘痘肌也不必担心，虽然没有传说那么神但也真的是很好用了，
成分控先说一下， covermark粉底的成分含有六种药草精华:
①【灵芝】保湿，活化肌肤肤，提高新陈代谢，改善肌质，去除表皮的过酸皮脂。
②【人参】活化新陈代谢机能，抑制肌肤疲劳，预防皱纹、黑斑，有消炎作用。
③【当归】改善雀斑、皮肤粗糙，并促进血液循环。
④【芦苇】温和和的消炎作用、保湿、扩张毛细血管，并清除血管中的废物。
⑤【慧苡仁】可以消炎，改善皮肤粗糙的问题。
⑥【桃仁】有保湿的作用，可改善肤色暗淡，防止小皱纹，使肌肤光润。
我都是精华水乳防晒之后最后上粉底，前面保湿做的好一点粉底自然就会服帖，用了这么久了也还没发现任何不适的症状。靠谱的日代30g不到400块也是可以的，虽然看起来小小一只但也是非常经用。
随着现代生活节奏的加快，压力，环境，新陈代谢以及内分泌失调了，大家的皮肤都会出现暗沉，痘痘等一系列的问题，最后还是那句话，再好的化妆品也抵不过睡个好觉，最近一段时间心情比较放松，睡得早起得早所以人都精神了不少。
祝愿小仙女们每天都能睡的饱，心情好，不长痘，元气满满每一天～😘😘😘"
